Cell_Index,Parsed_Cell_About,EDOAL_Cell_About,EDOAL_Cell_XML,Parsed_Entity1_URI,EDOAL_Entity1_URI,EDOAL_Entity1_XML,Parsed_Entity2_Structure,EDOAL_Entity2_XML,Parsed_Alignment,Parsed_Relation,EDOAL_Relation,Parsed_Measure,EDOAL_Measure,Entity1_Match,Entity2_Match,Relation_Match,Measure_Match
1,Cell 1,Taxon,"<Cell rdf:about=""Taxon"">
        <entity1>
          <edoal:Class rdf:about=""&irstea;Taxon""/>
        </entity1>
        <entity2>
          <edoal:AttributeDomainRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:class>
              <edoal:AttributeValueRestriction>
                <edoal:onAttribute>
                  <edoal:Relation rdf:about=""&skos;broader""/>
                </edoal:onAttribute>
                <edoal:comparator rdf:resource=""&edoal;equals""/>
                <edoal:value>
                  <edoal:Instance rdf:about=""&agrovoc;c_7624""/>
                </edoal:value>
              </edoal:AttributeValueRestriction>
            </edoal:class>
          </edoal:AttributeDomainRestriction>
        </entity2>
        <measure rdf:datatype=""&xsd;float"">1.0</measure>
        <relation>Equivalence</relation>
      </Cell>",http://ontology.irstea.fr/agronomictaxon/core#Taxon,http://ontology.irstea.fr/agronomictaxon/core#Taxon,"<entity1>
          <edoal:Class rdf:about=""&irstea;Taxon""/>
        </entity1>","AttributeDomainRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), class_expression=AttributeValueRestriction(on_attribute=Relation(uri='http://www.w3.org/2004/02/skos/core#broader'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_7624')))","<entity2>
          <edoal:AttributeDomainRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:class>
              <edoal:AttributeValueRestriction>
                <edoal:onAttribute>
                  <edoal:Relation rdf:about=""&skos;broader""/>
                </edoal:onAttribute>
                <edoal:comparator rdf:resource=""&edoal;equals""/>
                <edoal:value>
                  <edoal:Instance rdf:about=""&agrovoc;c_7624""/>
                </edoal:value>
              </edoal:AttributeValueRestriction>
            </edoal:class>
          </edoal:AttributeDomainRestriction>
        </entity2>","Cell(entity1=Class(uri='http://ontology.irstea.fr/agronomictaxon/core#Taxon'), entity2=AttributeDomainRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), class_expression=AttributeValueRestriction(on_attribute=Relation(uri='http://www.w3.org/2004/02/skos/core#broader'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_7624'))), relation='Equivalence', measure=1.0)",Equivalence,Equivalence,1.0,1.0,True,False,True,True
2,Cell 2,Kingdom,"<Cell rdf:about=""Kingdom"">
        <entity1>
          <edoal:Class rdf:about=""&irstea;KingdomRank""/>
        </entity1>
        <entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_330934""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>
        <measure rdf:datatype=""&xsd;float"">1.</measure>
        <relation>Equivalence</relation>
      </Cell>",http://ontology.irstea.fr/agronomictaxon/core#KingdomRank,http://ontology.irstea.fr/agronomictaxon/core#KingdomRank,"<entity1>
          <edoal:Class rdf:about=""&irstea;KingdomRank""/>
        </entity1>","AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_330934'))","<entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_330934""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>","Cell(entity1=Class(uri='http://ontology.irstea.fr/agronomictaxon/core#KingdomRank'), entity2=AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_330934')), relation='Equivalence', measure=1.0)",Equivalence,Equivalence,1.0,1.0,True,False,True,True
3,Cell 3,Phylum,"<Cell rdf:about=""Phylum"">
        <entity1>
          <edoal:Class rdf:about=""&irstea;PhylumRank""/>
        </entity1>
        <entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_330949""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>
        <measure rdf:datatype=""&xsd;float"">1.</measure>
        <relation>Equivalence</relation>
      </Cell>",http://ontology.irstea.fr/agronomictaxon/core#PhylumRank,http://ontology.irstea.fr/agronomictaxon/core#PhylumRank,"<entity1>
          <edoal:Class rdf:about=""&irstea;PhylumRank""/>
        </entity1>","AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_330949'))","<entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_330949""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>","Cell(entity1=Class(uri='http://ontology.irstea.fr/agronomictaxon/core#PhylumRank'), entity2=AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_330949')), relation='Equivalence', measure=1.0)",Equivalence,Equivalence,1.0,1.0,True,False,True,True
4,Cell 4,Classis,"<Cell rdf:about=""Classis"">
        <entity1>
          <edoal:Class rdf:about=""&irstea;ClassRank""/>
        </entity1>
        <entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_330935""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>
        <measure rdf:datatype=""&xsd;float"">1.</measure>
        <relation>Equivalence</relation>
      </Cell>",http://ontology.irstea.fr/agronomictaxon/core#ClassRank,http://ontology.irstea.fr/agronomictaxon/core#ClassRank,"<entity1>
          <edoal:Class rdf:about=""&irstea;ClassRank""/>
        </entity1>","AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_330935'))","<entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_330935""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>","Cell(entity1=Class(uri='http://ontology.irstea.fr/agronomictaxon/core#ClassRank'), entity2=AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_330935')), relation='Equivalence', measure=1.0)",Equivalence,Equivalence,1.0,1.0,True,False,True,True
5,Cell 5,Order,"<Cell rdf:about=""Order"">
        <entity1>
          <edoal:Class rdf:about=""&irstea;OrderRank""/>
        </entity1>
        <entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_330936""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>
        <measure rdf:datatype=""&xsd;float"">1.</measure>
        <relation>Equivalence</relation>
      </Cell>",http://ontology.irstea.fr/agronomictaxon/core#OrderRank,http://ontology.irstea.fr/agronomictaxon/core#OrderRank,"<entity1>
          <edoal:Class rdf:about=""&irstea;OrderRank""/>
        </entity1>","AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_330936'))","<entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_330936""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>","Cell(entity1=Class(uri='http://ontology.irstea.fr/agronomictaxon/core#OrderRank'), entity2=AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_330936')), relation='Equivalence', measure=1.0)",Equivalence,Equivalence,1.0,1.0,True,False,True,True
6,Cell 6,Family,"<Cell rdf:about=""Family"">
        <entity1>
          <edoal:Class rdf:about=""&irstea;FamilyRank""/>
        </entity1>
        <entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_330937""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>
        <measure rdf:datatype=""&xsd;float"">1.</measure>
        <relation>Equivalence</relation>
      </Cell>",http://ontology.irstea.fr/agronomictaxon/core#FamilyRank,http://ontology.irstea.fr/agronomictaxon/core#FamilyRank,"<entity1>
          <edoal:Class rdf:about=""&irstea;FamilyRank""/>
        </entity1>","AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_330937'))","<entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_330937""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>","Cell(entity1=Class(uri='http://ontology.irstea.fr/agronomictaxon/core#FamilyRank'), entity2=AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_330937')), relation='Equivalence', measure=1.0)",Equivalence,Equivalence,1.0,1.0,True,False,True,True
7,Cell 7,Genus,"<Cell rdf:about=""Genus"">
        <entity1>
          <edoal:Class rdf:about=""&irstea;GenusRank""/>
        </entity1>
        <entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_11125""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>
        <measure rdf:datatype=""&xsd;float"">1.</measure>
        <relation>Equivalence</relation>
      </Cell>",http://ontology.irstea.fr/agronomictaxon/core#GenusRank,http://ontology.irstea.fr/agronomictaxon/core#GenusRank,"<entity1>
          <edoal:Class rdf:about=""&irstea;GenusRank""/>
        </entity1>","AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_11125'))","<entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_11125""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>","Cell(entity1=Class(uri='http://ontology.irstea.fr/agronomictaxon/core#GenusRank'), entity2=AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_11125')), relation='Equivalence', measure=1.0)",Equivalence,Equivalence,1.0,1.0,True,False,True,True
8,Cell 8,Species,"<Cell rdf:about=""Species"">
        <entity1>
          <edoal:Class rdf:about=""&irstea;SpecyRank""/>
        </entity1>
        <entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_331243""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>
        <measure rdf:datatype=""&xsd;float"">1.</measure>
        <relation>Equivalence</relation>
      </Cell>",http://ontology.irstea.fr/agronomictaxon/core#SpecyRank,http://ontology.irstea.fr/agronomictaxon/core#SpecyRank,"<entity1>
          <edoal:Class rdf:about=""&irstea;SpecyRank""/>
        </entity1>","AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_331243'))","<entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_331243""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>","Cell(entity1=Class(uri='http://ontology.irstea.fr/agronomictaxon/core#SpecyRank'), entity2=AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_331243')), relation='Equivalence', measure=1.0)",Equivalence,Equivalence,1.0,1.0,True,False,True,True
9,Cell 9,Variety,"<Cell rdf:about=""Variety"">
        <entity1>
          <edoal:Class rdf:about=""&irstea;VarietyRank""/>
        </entity1>
        <entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_1423211760123""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>
        <measure rdf:datatype=""&xsd;float"">1.</measure>
        <relation>Equivalence</relation>
      </Cell>",http://ontology.irstea.fr/agronomictaxon/core#VarietyRank,http://ontology.irstea.fr/agronomictaxon/core#VarietyRank,"<entity1>
          <edoal:Class rdf:about=""&irstea;VarietyRank""/>
        </entity1>","AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_1423211760123'))","<entity2>
          <edoal:AttributeValueRestriction>
            <edoal:onAttribute>
              <edoal:Relation rdf:about=""&agronto;hasTaxonomicRank""/>
            </edoal:onAttribute>
            <edoal:comparator rdf:resource=""&edoal;equals""/>
            <edoal:value>
              <edoal:Instance rdf:about=""&agrovoc;c_1423211760123""/>
            </edoal:value>
          </edoal:AttributeValueRestriction>
        </entity2>","Cell(entity1=Class(uri='http://ontology.irstea.fr/agronomictaxon/core#VarietyRank'), entity2=AttributeValueRestriction(on_attribute=Relation(uri='http://aims.fao.org/aos/agrontology#hasTaxonomicRank'), comparator='http://ns.inria.org/edoal/1.0/#equals', value=Instance(uri='http://aims.fao.org/aos/agrovoc/c_1423211760123')), relation='Equivalence', measure=1.0)",Equivalence,Equivalence,1.0,1.0,True,False,True,True
10,Cell 10,hasHigherRank,"<Cell rdf:about=""hasHigherRank"">
        <entity1>
          <edoal:Relation rdf:about=""&irstea;hasHigherRank""/>
        </entity1>
        <entity2>
          <edoal:Relation>
            <edoal:transitive>
              <edoal:Relation rdf:about=""&skos;broader""/>
            </edoal:transitive>
          </edoal:Relation>
        </entity2>
        <measure rdf:datatype=""&xsd;float"">1.0</measure>
        <relation>SubsumedBy</relation>
      </Cell>",http://ontology.irstea.fr/agronomictaxon/core#hasHigherRank,http://ontology.irstea.fr/agronomictaxon/core#hasHigherRank,"<entity1>
          <edoal:Relation rdf:about=""&irstea;hasHigherRank""/>
        </entity1>","PathConstructor(operator='transitive', operands=[Relation(uri='http://www.w3.org/2004/02/skos/core#broader')])","<entity2>
          <edoal:Relation>
            <edoal:transitive>
              <edoal:Relation rdf:about=""&skos;broader""/>
            </edoal:transitive>
          </edoal:Relation>
        </entity2>","Cell(entity1=Relation(uri='http://ontology.irstea.fr/agronomictaxon/core#hasHigherRank'), entity2=PathConstructor(operator='transitive', operands=[Relation(uri='http://www.w3.org/2004/02/skos/core#broader')]), relation='SubsumedBy', measure=1.0)",SubsumedBy,SubsumedBy,1.0,1.0,True,False,True,True
