specy	lspecy
http://taxref.mnhn.fr/lod/taxon/127738/10.0	"Triticum goiranicum"
http://taxref.mnhn.fr/lod/taxon/127692/10.0	"Triticum aestivum"
http://taxref.mnhn.fr/lod/taxon/127827/10.0	"Triticum turgidum"
http://taxref.mnhn.fr/lod/taxon/127771/10.0	"Triticum monococcum"
http://taxref.mnhn.fr/lod/taxon/718429/10.0	"Triticum aestivum subsp. aestivum"
http://taxref.mnhn.fr/lod/taxon/620964/10.0	"Triticum aestivum subsp. compactum"
http://taxref.mnhn.fr/lod/taxon/141957/10.0	"Triticum aestivum subsp. spelta"
http://taxref.mnhn.fr/lod/taxon/141978/10.0	"Triticum turgidum subsp. durum"
http://taxref.mnhn.fr/lod/taxon/620966/10.0	"Triticum turgidum subsp. polonicum"
http://taxref.mnhn.fr/lod/taxon/718431/10.0	"Triticum turgidum subsp. turgidum"
http://taxref.mnhn.fr/lod/taxon/718430/10.0	"Triticum monococcum subsp. monococcum"
http://taxref.mnhn.fr/lod/taxon/621236/10.0	"Triticum turgidum subsp. dicoccon"
