specy	label2
http://taxref.mnhn.fr/lod/name/127738	"Triticum goiranicum"
http://taxref.mnhn.fr/lod/name/127692	"Triticum aestivum"
http://taxref.mnhn.fr/lod/name/127827	"Triticum turgidum"
http://taxref.mnhn.fr/lod/name/127771	"Triticum monococcum"
http://taxref.mnhn.fr/lod/name/718429	"Triticum aestivum subsp. aestivum"
http://taxref.mnhn.fr/lod/name/620964	"Triticum aestivum subsp. compactum"
http://taxref.mnhn.fr/lod/name/141957	"Triticum aestivum subsp. spelta"
http://taxref.mnhn.fr/lod/name/141978	"Triticum turgidum subsp. durum"
http://taxref.mnhn.fr/lod/name/620966	"Triticum turgidum subsp. polonicum"
http://taxref.mnhn.fr/lod/name/718431	"Triticum turgidum subsp. turgidum"
http://taxref.mnhn.fr/lod/name/718430	"Triticum monococcum subsp. monococcum"
http://taxref.mnhn.fr/lod/name/621236	"Triticum turgidum subsp. dicoccon"
