dataset,alignment_file,query_file,status,input_query,output_query,expected_query,error_info
conference,alignment.edoal,query_1.sparql,Failure,"PREFIX : <http://ekaw#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT ?reviewer WHERE {
?paper :hasReviewer ?reviewer.
?paper rdf:type :Accepted_Paper.
}
","PREFIX : <http://ekaw#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?rank WHERE {
?paper :hasReviewer ?reviewer.
 ?paper rdf:type :Accepted_Paper.
 }","PREFIX : <http://ekaw#> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 

SELECT ?reviewer WHERE {
?paper <http://cmt#readByReviewer> ?reviewer. 
?paper rdf:type <http://cmt#Paper>. 
?paper <http://cmt#hasDecision> ?variable_temp0. 
?variable_temp0 rdf:type <http://cmt#Acceptance>. 

}",
conference,alignment.edoal,query_2.sparql,Success,"PREFIX : <http://ekaw#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT ?author WHERE {
?author :authorOf ?paper.
?paper rdf:type :Regular_Paper.
}","PREFIX : <http://ekaw#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?rank WHERE {
?author <http://confOf#writes> ?paper.
 ?paper rdf:type :Regular_Paper.
 }","PREFIX : <http://ekaw#> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 

SELECT ?author WHERE {
?paper <http://cmt#hasAuthor> ?author. 

?paper rdf:type <http://cmt#PaperFullVersion>. 
}",
conference,alignment.edoal,query_3.sparql,Failure,"PREFIX :<http://cmt#>

SELECT ?person WHERE
{
?person a :Chairman.
?papier :hasAuthor ?person.
?papier a :Paper.
}","PREFIX : <http://cmt#>

SELECT ?rank WHERE {
?person rdf:type :Chairman.
 ?papier :hasAuthor ?person.
 ?papier rdf:type :Paper.
 }","PREFIX : <http://cmt#> 


SELECT ?person WHERE
{
{?person a <http://ekaw#Demo_Chair>. }UNION
{?person a <http://ekaw#OC_Chair>. }UNION
{?person a <http://ekaw#PC_Chair>. }UNION
{?person a <http://ekaw#Session_Chair>. }UNION
{?person a <http://ekaw#Tutorial_Chair>. }UNION
{?person a <http://ekaw#Workshop_Chair>. }
?person <http://ekaw#authorOf> ?papier. 

?papier a <http://ekaw#Paper>. 
}",
conference,alignment.edoal,query_4.sparql,Failure,"PREFIX : <http://ekaw#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT ?author WHERE {
?paper :writtenBy ?author.
?paper rdf:type :Regular_Paper.
}","PREFIX : <http://ekaw#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?rank WHERE {
?paper :writtenBy ?author.
 ?paper rdf:type :Regular_Paper.
 }","PREFIX : <http://ekaw#> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 

SELECT ?author WHERE {
?author <http://cmt#writePaper> ?paper. 

?paper rdf:type <http://cmt#PaperFullVersion>. 
}",
conference,alignment.edoal,query_5.sparql,Success,"PREFIX : <http://ekaw#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?person 	WHERE {
?person :authorOf ?paper.
?paper a :Paper.
?person rdf:type :Early-Registered_Participant.
}
","PREFIX : <http://ekaw#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?rank WHERE {
?person <http://confOf#writes> ?paper.
 ?paper rdf:type <http://confOf#Paper>.
 ?person rdf:type :Early-Registered_Participant.
 }","PREFIX : <http://ekaw#> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 


SELECT ?person 	WHERE {
?person <http://confOf#writes> ?paper. 
?paper a <http://confOf#Paper>. 
?person rdf:type <http://confOf#Participant>. 
?person <http://confOf#earlyRegistration> ?variable_temp0. FILTER(?variable_temp0 = ""true""^^<http://www.w3.org/2001/XMLSchema#boolean>).


}",
conference,alignment.edoal,query_6.sparql,Success,"PREFIX : <http://ekaw#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT ?person 	WHERE {
?person :authorOf ?paper.
?person rdf:type :Late-Registered_Participant.
?paper a :Poster_Paper.
}
","PREFIX : <http://ekaw#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?rank WHERE {
?person <http://confOf#writes> ?paper.
 ?person rdf:type :Late-Registered_Participant.
 ?paper rdf:type <http://confOf#Poster>.
 }"," PREFIX : <http://ekaw#> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 

SELECT ?person 	WHERE {
?person <http://confOf#writes> ?paper. 
?person rdf:type <http://confOf#Participant>. 
?person <http://confOf#earlyRegistration> ?variable_temp0. FILTER(?variable_temp0 = ""false""^^<http://www.w3.org/2001/XMLSchema#boolean>).


?paper a <http://confOf#Poster>. 
}
",
agronomic-voc,alignment.edoal,query_0.sparql,Success,"PREFIX agro: <http://ontology.irstea.fr/agronomictaxon/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX agronto: <http://aims.fao.org/aos/agrontology#>
PREFIX agrovoc: <http://aims.fao.org/aos/agrovoc/>
PREFIX skosxl: <http://www.w3.org/2008/05/skos-xl#>

select distinct ?specy where {
?specy rdf:type agro:Taxon.
?taxon agro:prefVernacularName ?label.
?taxon agro:hasLowerRank+ ?specy.
filter (regex(?label, ""^triticum$"",""i"")).
}","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX skosxl: <http://www.w3.org/2008/05/skos-xl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX agronto: <http://aims.fao.org/aos/agrontology#>
PREFIX agrovoc: <http://aims.fao.org/aos/agrovoc/>
PREFIX agro: <http://ontology.irstea.fr/agronomictaxon/core#>

SELECT ?rank WHERE {
?specy rdf:type agro:Taxon.
 ?taxon agro:prefVernacularName ?label.
   FILTER((regex ?label ""^triticum$"" ""i""))}","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX agro: <http://ontology.irstea.fr/agronomictaxon/core#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX skosxl: <http://www.w3.org/2008/05/skos-xl#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX agronto: <http://aims.fao.org/aos/agrontology#>
PREFIX agrovoc: <http://aims.fao.org/aos/agrovoc/>


select distinct ?specy where {
?specy agronto:hasTaxonomicRank ?variable_temp0.
?variable_temp0 skos:broader agrovoc:c_7624.

{?taxon skos:prefLabel ?label. }UNION
{?taxon skosxl:prefLabel ?var_temp2.
?var_temp2 skosxl:literalForm ?label.
}
?taxon skos:narrower+ ?specy.

filter (regex(?label, ""^triticum$"",""i"")).
}
",
agronomic-voc,alignment.edoal,query_1.sparql,Success,"PREFIX agro: <http://ontology.irstea.fr/agronomictaxon/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX agronto: <http://aims.fao.org/aos/agrontology#>
PREFIX agrovoc: <http://aims.fao.org/aos/agrovoc/>
PREFIX skosxl: <http://www.w3.org/2008/05/skos-xl#>

select ?rank where {
?taxon agro:prefScientificName ?label.
?taxon a ?rank.
?rank rdfs:subClassOf agro:Taxon.
filter (regex(?label, ""^triticum$"",""i"")).
}","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX skosxl: <http://www.w3.org/2008/05/skos-xl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX agronto: <http://aims.fao.org/aos/agrontology#>
PREFIX agrovoc: <http://aims.fao.org/aos/agrovoc/>
PREFIX agro: <http://ontology.irstea.fr/agronomictaxon/core#>

SELECT ?rank WHERE {
?taxon agro:prefScientificName ?label.
 ?taxon rdf:type ?rank.
 ?rank rdfs:subClassOf agro:Taxon.
  FILTER((regex ?label ""^triticum$"" ""i""))}","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX agro: <http://ontology.irstea.fr/agronomictaxon/core#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX skosxl: <http://www.w3.org/2008/05/skos-xl#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX agronto: <http://aims.fao.org/aos/agrontology#>
PREFIX agrovoc: <http://aims.fao.org/aos/agrovoc/>


select ?rank where {
    {?taxon skos:prefLabel ?label. }UNION
    {?taxon skosxl:prefLabel ?var_temp0.
    ?var_temp0 skosxl:literalForm ?label.
    }
    ?taxon a ?rank.
    ?rank rdfs:subClassOf skos:Concept.
    filter (regex(?label, ""^triticum$"",""i"")).
}
",
agronomic-voc,alignment.edoal,query_2.sparql,Success,"PREFIX agro: <http://ontology.irstea.fr/agronomictaxon/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX agronto: <http://aims.fao.org/aos/agrontology#>
PREFIX agrovoc: <http://aims.fao.org/aos/agrovoc/>
PREFIX skosxl: <http://www.w3.org/2008/05/skos-xl#>

select ?parent where {
?taxon agro:prefVernacularName ?label.
?taxon agro:hasHigherRank* ?parent.
?parent a agro:KingdomRank.
filter (regex(?label, ""^wheat$"", ""i"")).
}","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX skosxl: <http://www.w3.org/2008/05/skos-xl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX agronto: <http://aims.fao.org/aos/agrontology#>
PREFIX agrovoc: <http://aims.fao.org/aos/agrovoc/>
PREFIX agro: <http://ontology.irstea.fr/agronomictaxon/core#>

SELECT ?rank WHERE {
?taxon agro:prefVernacularName ?label.
  ?parent rdf:type agro:KingdomRank.
  FILTER((regex ?label ""^wheat$"" ""i""))}","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX agro: <http://ontology.irstea.fr/agronomictaxon/core#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX skosxl: <http://www.w3.org/2008/05/skos-xl#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX agronto: <http://aims.fao.org/aos/agrontology#>
PREFIX agrovoc: <http://aims.fao.org/aos/agrovoc/>


select distinct ?parent where {
{?taxon skos:prefLabel ?label. }UNION
{?taxon skosxl:prefLabel ?var_temp0.
?var_temp0 skosxl:literalForm ?label.
}
?taxon skos:broader+ ?parent.

?parent agronto:hasTaxonomicRank agrovoc:c_330934.

filter (regex(?label, ""^wheat$"", ""i"")).
}
",
agronomic-voc,alignment.edoal,query_3.sparql,Success,"PREFIX agro: <http://ontology.irstea.fr/agronomictaxon/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX agronto: <http://aims.fao.org/aos/agrontology#>
PREFIX agrovoc: <http://aims.fao.org/aos/agrovoc/>
PREFIX skosxl: <http://www.w3.org/2008/05/skos-xl#>

select ?commonName where {
?taxon rdf:type agro:Taxon.
?taxon agro:hasScientificName ?label.
?taxon agro:hasVernacularName ?commonName.
filter (regex(?label,""^triticum$"", ""i"") && lang(?commonName) =""fr"").
}","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX skosxl: <http://www.w3.org/2008/05/skos-xl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX agronto: <http://aims.fao.org/aos/agrontology#>
PREFIX agrovoc: <http://aims.fao.org/aos/agrovoc/>
PREFIX agro: <http://ontology.irstea.fr/agronomictaxon/core#>

SELECT ?rank WHERE {
?taxon rdf:type agro:Taxon.
 ?taxon agro:hasScientificName ?label.
 ?taxon agro:hasVernacularName ?commonName.
  FILTER((&& (regex ?label ""^triticum$"" ""i"") (= (lang ?commonName) ""fr"")))}","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX agro: <http://ontology.irstea.fr/agronomictaxon/core#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX skosxl: <http://www.w3.org/2008/05/skos-xl#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX agronto: <http://aims.fao.org/aos/agrontology#>
PREFIX agrovoc: <http://aims.fao.org/aos/agrovoc/>


select ?commonName where {
?taxon rdf:type skos:Concept.
{?taxon skos:prefLabel ?label. }UNION
{?taxon skosxl:prefLabel ?var_temp0.
?var_temp0 skosxl:literalForm ?label.
}UNION
{?taxon skos:altLabel ?label. }UNION
{?taxon skosxl:altLabel ?var_temp1.
?var_temp1 skosxl:literalForm ?label.
}UNION
{?taxon skos:altLabel ?label. }
{?taxon skos:prefLabel ?commonName. }UNION
{?taxon skosxl:prefLabel ?var_temp2.
?var_temp2 skosxl:literalForm ?commonName.
}UNION
{?taxon skos:altLabel ?commonName. }UNION
{?taxon skosxl:altLabel ?var_temp3.
?var_temp3 skosxl:literalForm ?commonName.
}UNION
{?taxon skos:altLabel ?commonName. }
filter (regex(?label,""^triticum$"", ""i"") && lang(?commonName) =""fr"").
}
",
agronomic-voc,alignment.edoal,query_4.sparql,Success,"PREFIX agro: <http://ontology.irstea.fr/agronomictaxon/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX agronto: <http://aims.fao.org/aos/agrontology#>
PREFIX agrovoc: <http://aims.fao.org/aos/agrovoc/>
PREFIX skosxl: <http://www.w3.org/2008/05/skos-xl#>

select ?commonName where {
?taxon rdf:type agro:Taxon.
?taxon agro:prefScientificName ?label.
?taxon agro:prefVernacularName ?commonName.
filter (regex(?label, ""^triticum$"", ""i"") && lang(?commonName) =""en"").
}","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX skosxl: <http://www.w3.org/2008/05/skos-xl#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX agronto: <http://aims.fao.org/aos/agrontology#>
PREFIX agrovoc: <http://aims.fao.org/aos/agrovoc/>
PREFIX agro: <http://ontology.irstea.fr/agronomictaxon/core#>

SELECT ?rank WHERE {
?taxon rdf:type agro:Taxon.
 ?taxon agro:prefScientificName ?label.
 ?taxon agro:prefVernacularName ?commonName.
  FILTER((&& (regex ?label ""^triticum$"" ""i"") (= (lang ?commonName) ""en"")))}","PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX agro: <http://ontology.irstea.fr/agronomictaxon/core#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX skosxl: <http://www.w3.org/2008/05/skos-xl#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX agronto: <http://aims.fao.org/aos/agrontology#>
PREFIX agrovoc: <http://aims.fao.org/aos/agrovoc/>


select ?commonName where {
?taxon rdf:type skos:Concept.
{?taxon skos:prefLabel ?label. }UNION
{?taxon skosxl:prefLabel ?var_temp0.
?var_temp0 skosxl:literalForm ?label.
}
{?taxon skos:prefLabel ?commonName. }UNION
{?taxon skosxl:prefLabel ?var_temp1.
?var_temp1 skosxl:literalForm ?commonName.
}
filter (regex(?label, ""^triticum$"", ""i"") && lang(?commonName) =""en"").
}
",
